rank,name,surface_km2
450,ALA,596.1931749941557
451,ALA,595.5584951251993
452,ALA,593.51622347816
453,ALA,592.2330165215237
454,ALA,588.588332975465
455,ALA,583.1840674342176
456,ALA,577.262551648158
457,ALA,577.0997511395553
458,ALA,576.9226860725903
459,ALA,576.8908294994527
460,ALA,576.6727229047525
461,ALA,573.9028849974937
462,ALA,571.9841737633185
463,ALA,568.1671130566888
464,ALA,563.8592586667709
465,ALA,561.7169385325988
466,ALA,560.9622083900698
467,ALA,560.6076012084976
468,ALA,559.9776636322676
469,ALA,557.6916766661327
470,ALA,556.5987646127405
471,ALA,553.5061257497301
472,ALA,552.9094464237556
473,ALA,550.1703509666947
474,ALA,549.4106442835392
475,ALA,548.9944182475355
476,ALA,548.1526018326701
477,ALA,548.0553450063029
478,ALA,543.2351749596645
479,ALA,542.0947501464495
480,ALA,537.6894365997563
481,ALA,537.5769734967351
482,ALA,531.1638908878411
483,ALA,530.9124521781023
484,ALA,529.1590391314696
485,ALA,527.4706891596197
486,ALA,526.967095033434
487,ALA,520.4175794412487
488,ALA,520.0862537123678
489,ALA,518.6668254513739
490,ALA,516.2896392254887
491,ALA,516.2129469247245
492,ALA,515.116988736149
493,ALA,514.7615968692057
494,ALA,512.9607888394527
495,ALA,509.8968250381279
496,ALA,509.609366618242
497,ALA,508.037636835676
498,ALA,507.89049511391084
499,ALA,507.46302595857236
500,ALA,507.40922043980726
501,ALA,507.4021812317768
502,ALA,504.5894105417556
503,ALA,503.70299057801435
504,ALA,503.6462864701558
505,ALA,500.4968442572956
506,ALA,499.62073886010984
507,ALA,497.186706468565
508,ALA,491.58055893552466
509,ALA,488.1743746961455
510,ALA,487.898618752308
511,ALA,485.34775617090867
512,ALA,483.9699637579721
513,ALA,481.77356155920194
514,ALA,480.28994501386273
515,ALA,480.0921787583486
516,ALA,479.94961458828215
517,ALA,478.5556524530897
518,ALA,477.94374433178075
519,ALA,475.5279607165532
520,ALA,475.4611031941109
521,ALA,474.6234501137726
522,ALA,474.2333326927146
523,ALA,471.8993483755558
524,ALA,471.3922548397454
525,ALA,468.80645273231966
526,ALA,467.23673727973824
527,ALA,466.38919314949754
528,ALA,465.1237395665796
529,ALA,465.07789522564116
530,ALA,462.92521863709504
531,ALA,461.30137754995917
532,ALA,460.59968851950066
533,ALA,459.3612979886951
534,ALA,457.4688719759655
535,ALA,456.2575290469698
536,ALA,456.07570268672964
537,ALA,454.6538028601205
538,ALA,453.54412367521087
539,ALA,452.41386797807
540,ALA,451.38991666302064
541,ALA,450.97476808314934
542,ALA,450.4543543113079
543,ALA,450.00960556792
544,ALA,449.8426930397823
545,ALA,449.60563480181196
546,ALA,448.9965193351278
547,ALA,447.51556669242416
548,ALA,447.0915346086303
549,ALA,446.10737095929625
550,ALA,446.06567385958033
551,ALA,445.6840302511062
552,ALA,445.3764310614556
553,ALA,443.6759733209114
554,ALA,443.2437776444512
555,ALA,441.59829660940215
556,ALA,440.802017022418
557,ALA,439.8340581694927
558,ALA,439.15685260316656
559,ALA,438.6774025066508
560,ALA,438.6616494035929
561,ALA,438.000569069158
562,ALA,436.34681847260566
563,ALA,436.16977457010285
564,ALA,434.63968258432334
565,ALA,434.11529697932883
566,ALA,432.8306633924942
567,ALA,432.58293694254974
568,ALA,432.4568993798653
569,ALA,432.079103619628
570,ALA,430.8631190730381
